lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
IXI114-Guys-0737	1804.0	918.0	6017.0	2171.0	1555.0	7564.0	8948.0	9379.0	1775.0	8025.0	5870.0	4792.0	3729.0	7289.0	1505.0	2429.0	3653.0	1947.0	2543.0	1660.0	8332.0	2016.0	11343.0	7835.0	1601.0	11234.0	17745.0	10050.0	8789.0	8863.0	707.0	2242.0	921.0	5669.0	947726.0	1295261.42152
IXI115-Guys-0738	3279.0	2026.0	5318.0	2552.0	2819.0	9127.0	12978.0	11757.0	2427.0	11903.0	6804.0	5456.0	4869.0	10532.0	2065.0	3443.0	3672.0	2186.0	3216.0	1842.0	8226.0	2991.0	13499.0	9062.0	1910.0	13447.0	18509.0	11780.0	12794.0	11561.0	876.0	2724.0	764.0	7651.0	1096957.0	1562978.42857
IXI116-Guys-0739	1764.0	1316.0	5199.0	2904.0	2833.0	12028.0	11860.0	13159.0	2483.0	12139.0	7816.0	4818.0	5370.0	12699.0	2002.0	3229.0	5910.0	2677.0	4496.0	1984.0	9538.0	3163.0	14104.0	9355.0	2255.0	18704.0	24629.0	13793.0	10948.0	12401.0	1217.0	3002.0	1171.0	8532.0	1198822.0	1521401.84871
IXI117-Guys-0763	2226.0	1289.0	4994.0	2238.0	1594.0	7797.0	10788.0	10793.0	2459.0	11084.0	6679.0	5964.0	4622.0	11015.0	1859.0	2903.0	4315.0	2231.0	3704.0	1572.0	7258.0	2344.0	11249.0	8858.0	2119.0	14220.0	22559.0	12006.0	8772.0	10394.0	939.0	2138.0	690.0	6055.0	1080151.0	1494077.14526
IXI118-Guys-0764	1781.0	1536.0	6131.0	2505.0	2058.0	7808.0	13434.0	11648.0	2149.0	9845.0	6690.0	5533.0	4764.0	10133.0	1503.0	3344.0	4060.0	2522.0	2832.0	1788.0	7262.0	2755.0	13014.0	7779.0	2349.0	14833.0	22746.0	11499.0	10533.0	8433.0	884.0	2496.0	909.0	5979.0	1057835.0	1438513.13186
IXI119-Guys-0765	2165.0	680.0	6753.0	2481.0	1663.0	7805.0	10384.0	8181.0	1925.0	9387.0	6901.0	5437.0	4027.0	9185.0	2155.0	3104.0	3422.0	2325.0	3494.0	1696.0	8530.0	2311.0	10935.0	8222.0	1940.0	14545.0	23538.0	11648.0	10373.0	10450.0	970.0	2798.0	947.0	6593.0	991306.0	1278637.59508
IXI120-Guys-0766	1769.0	1917.0	4433.0	1993.0	2279.0	10467.0	9935.0	11506.0	1793.0	9804.0	6543.0	4079.0	4566.0	8723.0	2023.0	3089.0	3718.0	2324.0	3490.0	1149.0	7895.0	2647.0	10807.0	7809.0	2669.0	11623.0	17627.0	10168.0	8715.0	7534.0	869.0	2426.0	784.0	6723.0	1013178.0	1244802.94761
IXI121-Guys-0772	2409.0	1821.0	6098.0	2761.0	3295.0	11075.0	12502.0	12665.0	2457.0	11927.0	8501.0	6779.0	5386.0	10590.0	2840.0	3359.0	5117.0	3187.0	3816.0	1706.0	9147.0	2908.0	14358.0	9352.0	1963.0	14614.0	21216.0	13642.0	11176.0	9996.0	1048.0	2714.0	1216.0	7580.0	1165325.0	1583930.07251
IXI122-Guys-0773	2296.0	1973.0	6144.0	3943.0	2526.0	9844.0	13050.0	9970.0	2562.0	13050.0	7379.0	6411.0	4683.0	10302.0	1941.0	3328.0	5003.0	2826.0	4682.0	2610.0	7341.0	2650.0	11810.0	9593.0	3442.0	18607.0	24077.0	13540.0	14044.0	10887.0	1098.0	2313.0	1172.0	7623.0	1190812.0	1611350.15823
IXI123-Guys-0774	1625.0	1200.0	5462.0	2434.0	2259.0	9448.0	9903.0	9490.0	2111.0	10514.0	6481.0	6074.0	4390.0	8896.0	1868.0	3146.0	3896.0	2166.0	2482.0	1719.0	6480.0	2028.0	10906.0	7499.0	1864.0	13729.0	17665.0	11061.0	8997.0	8093.0	1032.0	2171.0	844.0	5332.0	1039687.0	1332649.65442
IXI126-HH-1437	2840.0	1607.0	7017.0	2702.0	1871.0	11184.0	11917.0	14142.0	2357.0	13883.0	8974.0	6336.0	5918.0	13757.0	1782.0	3801.0	4511.0	2575.0	4234.0	1621.0	9560.0	2543.0	12353.0	9783.0	2906.0	16694.0	26613.0	12640.0	15474.0	14065.0	1202.0	2686.0	1194.0	7455.0	1297684.0	1874287.05381
IXI127-HH-1451	3287.0	1197.0	4003.0	2251.0	1742.0	9143.0	12706.0	11333.0	2010.0	9864.0	7621.0	4369.0	5655.0	13300.0	1993.0	3278.0	4872.0	2518.0	3758.0	1066.0	8265.0	2843.0	10944.0	8537.0	2867.0	15111.0	21289.0	11847.0	13646.0	11002.0	903.0	2798.0	1036.0	6985.0	1154608.0	1543670.61105
IXI128-HH-1470	2072.0	955.0	6446.0	3330.0	1931.0	8263.0	11369.0	11807.0	2047.0	9712.0	8969.0	5642.0	5468.0	12027.0	2223.0	3705.0	5150.0	2724.0	3977.0	2596.0	7872.0	2935.0	13296.0	8341.0	3029.0	15720.0	26005.0	13060.0	13057.0	12634.0	1132.0	2544.0	1161.0	7388.0	1140373.0	1501754.25482
IXI129-Guys-0775	3176.0	2495.0	6979.0	3045.0	2927.0	10780.0	16155.0	16444.0	2788.0	11995.0	7827.0	6248.0	6663.0	15129.0	1790.0	3726.0	4153.0	2218.0	3218.0	1702.0	11208.0	3349.0	16205.0	11513.0	3606.0	18804.0	27938.0	13933.0	15365.0	15496.0	1118.0	3581.0	871.0	7361.0	1413493.0	1894656.96621
IXI130-HH-1528	2866.0	714.0	6108.0	3350.0	1731.0	9737.0	11829.0	11976.0	2382.0	12205.0	8760.0	7792.0	5706.0	10086.0	2215.0	4405.0	5054.0	3169.0	3755.0	2513.0	11140.0	2786.0	16681.0	11136.0	2293.0	17828.0	25962.0	13957.0	13627.0	14768.0	972.0	3285.0	902.0	7145.0	1257518.0	1751465.80627
IXI131-HH-1527	2062.0	1746.0	6616.0	3210.0	2365.0	8769.0	12101.0	14614.0	2545.0	13155.0	7748.0	5009.0	5169.0	14443.0	2339.0	3288.0	4438.0	2324.0	3414.0	2248.0	9170.0	3387.0	13774.0	10033.0	3168.0	17627.0	22735.0	13497.0	11832.0	8843.0	1101.0	2674.0	1292.0	7253.0	1299589.0	1783641.62445
IXI132-HH-1415	2384.0	2103.0	5877.0	2739.0	1559.0	8630.0	13186.0	11408.0	1968.0	11612.0	8284.0	4524.0	4693.0	10360.0	1942.0	2940.0	4477.0	2654.0	3764.0	1295.0	9776.0	2887.0	12721.0	8846.0	2677.0	13453.0	18943.0	12970.0	11748.0	9814.0	874.0	2183.0	946.0	6743.0	1148357.0	1590345.52195
